"ZIP Code","Week Number","Week Start","Week End","Cases - Weekly","Cases - Cumulative","Case Rate - Weekly","Case Rate - Cumulative","Tests - Weekly","Tests - Cumulative","Test Rate - Weekly","Test Rate - Cumulative","Percent Tested Positive - Weekly","Percent Tested Positive - Cumulative","Deaths - Weekly","Deaths - Cumulative","Death Rate - Weekly","Death Rate - Cumulative","Population","Row ID","ZIP Code Location"
"60641","24","06/12/2022","06/18/2022","122","18,231","172","25,669.1","1,218","308,207","1,715","433,953.8","11.8%","7.0%","0","190","0.0","267.5","71,023","60641-2022-24","POINT (-87.746791 41.946682)"
"60641","3","01/16/2022","01/22/2022","374","15,938","527","22,440.6","5,764","234,367","8,116","329,987.5","8.4%","8.1%","9","174","12.7","245.0","71,023","60641-2022-3","POINT (-87.746791 41.946682)"
"60641","26","06/26/2022","07/02/2022","158","18,530","223","26,090.1","1,244","310,664","1,752","437,413.2","13.5%","7.1%","0","191","0.0","268.9","71,023","60641-2022-26","POINT (-87.746791 41.946682)"
"60641","27","07/03/2022","07/09/2022","149","18,679","210","26,299.9","1,141","311,805","1,607","439,019.8","12.7%","7.1%","0","191","0.0","268.9","71,023","60641-2022-27","POINT (-87.746791 41.946682)"
"60641","28","07/10/2022","07/16/2022","134","18,813","189","26,488.6","1,363","313,168","1,919","440,938.9","11.2%","7.1%","1","192","1.4","270.3","71,023","60641-2022-28","POINT (-87.746791 41.946682)"
"60641","29","07/17/2022","07/23/2022","117","18,930","165","26,653.3","1,357","314,525","1,911","442,849.5","8.3%","7.1%","1","193","1.4","271.7","71,023","60641-2022-29","POINT (-87.746791 41.946682)"
"60641","30","07/24/2022","07/30/2022","126","19,056","177","26,830.7","1,311","315,836","1,846","444,695.4","11.4%","7.1%","0","193","0.0","271.7","71,023","60641-2022-30","POINT (-87.746791 41.946682)"
"60641","31","07/31/2022","08/06/2022","172","19,228","242","27,072.9","1,312","317,148","1,847","446,542.7","16.2%","7.2%","0","193","0.0","271.7","71,023","60641-2022-31","POINT (-87.746791 41.946682)"
"60641","32","08/07/2022","08/13/2022","129","19,357","182","27,254.6","1,210","318,358","1,704","448,246.3","11.9%","7.2%","0","193","0.0","271.7","71,023","60641-2022-32","POINT (-87.746791 41.946682)"
"60641","33","08/14/2022","08/20/2022","112","19,469","158","27,412.2","1,095","319,453","1,542","449,788.1","10.7%","7.2%","1","194","1.4","273.2","71,023","60641-2022-33","POINT (-87.746791 41.946682)"
"60641","4","01/23/2022","01/29/2022","217","16,155","306","22,746.2","5,266","239,633","7,415","337,402","5.4%","8.0%","4","178","5.6","250.6","71,023","60641-2022-4","POINT (-87.746791 41.946682)"
"60641","5","01/30/2022","02/05/2022","118","16,273","166","22,912.3","4,368","244,001","6,150","343,552.1","3.3%","8.0%","5","183","7.0","257.7","71,023","60641-2022-5","POINT (-87.746791 41.946682)"
"60641","6","02/06/2022","02/12/2022","84","16,357","118","23,030.6","4,542","248,543","6,395","349,947.2","2.4%","7.9%","4","187","5.6","263.3","71,023","60641-2022-6","POINT (-87.746791 41.946682)"
"60641","37","09/11/2022","09/17/2022","78","19,819","110","27,905","1,868","326,276","2,630","459,394.8","5.0%","7.2%","0","194","0.0","273.2","71,023","60641-2022-37","POINT (-87.746791 41.946682)"
"60641","38","09/18/2022","09/24/2022","36","19,855","51","27,955.7","1,555","327,831","2,189","461,584.3","2.8%","7.2%","0","194","0.0","273.2","71,023","60641-2022-38","POINT (-87.746791 41.946682)"
"60641","39","09/25/2022","10/01/2022","44","19,899","62","28,017.7","1,860","329,691","2,619","464,203.1","2.5%","7.1%","1","195","1.4","274.6","71,023","60641-2022-39","POINT (-87.746791 41.946682)"
"60641","40","10/02/2022","10/08/2022","54","19,953","76","28,093.7","1,898","331,589","2,672","466,875.5","3.1%","7.1%","1","196","1.4","276.0","71,023","60641-2022-40","POINT (-87.746791 41.946682)"
"60641","7","02/13/2022","02/19/2022","55","16,412","77","23,108","4,144","252,687","5,835","355,781.9","1.6%","7.8%","1","188","1.4","264.7","71,023","60641-2022-7","POINT (-87.746791 41.946682)"
"60641","8","02/20/2022","02/26/2022","29","16,441","41","23,148.8","4,001","256,688","5,633","361,415.3","0.9%","7.6%","0","188","0.0","264.7","71,023","60641-2022-8","POINT (-87.746791 41.946682)"
"60641","9","02/27/2022","03/05/2022","20","16,461","28","23,177","3,816","260,504","5,373","366,788.2","0.6%","7.5%","1","189","1.4","266.1","71,023","60641-2022-9","POINT (-87.746791 41.946682)"
"60641","10","03/05/2023","03/11/2023","53","21,603","75","30,416.9","1,459","363,242","2,054","511,442.8","4.4%","7.0%","0","202","0.0","284.4","71,023","60641-2023-10","POINT (-87.746791 41.946682)"
"60641","11","03/12/2023","03/18/2023","56","21,659","79","30,495.8","1,436","364,678","2,022","513,464.7","3.7%","7.0%","0","202","0.0","284.4","71,023","60641-2023-11","POINT (-87.746791 41.946682)"
"60641","12","03/19/2023","03/25/2023","40","21,699","56","30,552.1","1,434","366,112","2,019","515,483.7","2.6%","6.9%","0","202","0.0","284.4","71,023","60641-2023-12","POINT (-87.746791 41.946682)"
"60641","13","03/26/2023","04/01/2023","43","21,742","61","30,612.6","1,322","367,434","1,861","517,345.1","2.5%","6.9%","0","202","0.0","284.4","71,023","60641-2023-13","POINT (-87.746791 41.946682)"
"60641","14","04/02/2023","04/08/2023","30","21,772","42","30,654.9","410","367,844","577","517,922.4","5.9%","6.9%","0","202","0.0","284.4","71,023","60641-2023-14","POINT (-87.746791 41.946682)"
"60641","15","04/09/2023","04/15/2023","26","21,798","37","30,691.5","1,143","368,987","1,609","519,531.7","1.9%","6.9%","0","202","0.0","284.4","71,023","60641-2023-15","POINT (-87.746791 41.946682)"
"60641","26","06/25/2023","07/01/2023","13","21,976","18","30,942.1","97","375,930","137","529,307.4","15.5%","6.8%","1","204","1.4","287.2","71,023","60641-2023-26","POINT (-87.746791 41.946682)"
"60641","27","07/02/2023","07/08/2023","11","21,987","16","30,957.6","76","376,006","107","529,414.4","13.2%","6.8%","0","204","0.0","287.2","71,023","60641-2023-27","POINT (-87.746791 41.946682)"
"60641","28","07/09/2023","07/15/2023","9","21,996","13","30,970.2","75","376,081","106","529,520","12.0%","6.8%","0","204","0.0","287.2","71,023","60641-2023-28","POINT (-87.746791 41.946682)"
"60641","29","07/16/2023","07/22/2023","13","22,009","18","30,988.6","89","376,170","125","529,645.3","12.4%","6.8%","0","204","0.0","287.2","71,023","60641-2023-29","POINT (-87.746791 41.946682)"
"60641","3","01/15/2023","01/21/2023","62","21,187","87","29,831.2","1,264","352,833","1,780","496,787","5.5%","7.0%","0","202","0.0","284.4","71,023","60641-2023-3","POINT (-87.746791 41.946682)"
"60641","30","07/23/2023","07/29/2023","11","22,020","16","31,004","90","376,260","127","529,772","13.3%","6.8%","0","204","0.0","287.2","71,023","60641-2023-30","POINT (-87.746791 41.946682)"
"60641","4","01/22/2023","01/28/2023","60","21,247","85","29,915.7","1,394","354,227","1,963","498,749.7","4.4%","7.0%","0","202","0.0","284.4","71,023","60641-2023-4","POINT (-87.746791 41.946682)"
